Track Name,Artist,Streams,Years,Genre,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7,Genre8,Genre9,Genre10
Starboy,The Weeknd,3135625.0,2017.0,pop, rnb, pop,,,,,,,
Closer,The Chainsmokers,3015525.0,2017.0,pop, pop dance, tropical house, edm, electropop, dance pop,,,,
Let Me Love You,DJ Snake,2545384.0,2017.0,pop, electronic trap, dance pop, edm, pop dance, pop rap,,,,
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2356604.0,2017.0,pop, dance, dance pop, uk funky, tropical house, pop dance, post-teen pop, edm,,
One Dance,Drake,2259887.0,2017.0,rap, pop, hip pop, rap, pop rap, hip hop,,,,
Fake Love,Drake,2137437.0,2017.0,rap, pop, hip pop, rap, pop rap, hip hop,,,,
24K Magic,Bruno Mars,2111599.0,2017.0,pop, post-teen pop, dance pop,,,,,,,
Dont Wanna Know,Maroon 5,2107137.0,2017.0,pop, pop rock,,,,,,,,
Black Beatles,Rae Sremmurd,2075732.0,2017.0,rap, mississippi hip hop, melodic rap, trap, pop rap, southern hip hop, hip hop,,,
I Feel It Coming,The Weeknd,1949575.0,2017.0,pop, rnb, pop,,,,,,,
Chantaje (feat. Maluma),Shakira,1893214.0,2017.0,colombian pop, dance pop, latin pop, pop, latin,,,,,
"I Donâ€™t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1857252.0,2017.0,pop, post-teen pop, uk pop, dance pop,,,,,,
Say You Wont Let Go,James Arthur,1812335.0,2017.0,pop, uk pop, talent show, post-teen pop,,,,,,
Bad and Boujee (feat. Lil Uzi Vert),Migos,1801707.0,2017.0,rap, atl hip hop, trap, pop rap,,,,,,
Cold Water (feat. Justin Bieber & MÃ˜),Major Lazer,1731191.0,2017.0,moombahton, pop, edm, dance pop, pop dance, pop rap, electro house,,,
In the Name of Love,Martin Garrix,1647944.0,2017.0,dutch edm, pop dance, edm, tropical house, pop, progressive house, dance pop,,,
Side To Side,Ariana Grande,1527676.0,2017.0,pop, post-teen pop, dance pop,,,,,,,
Call On Me - Ryan Riback Extended Remix,Starley,1507320.0,2017.0,aussietronica, tropical house, pop dance,,,,,,,
"CANT STOP THE FEELING! (Original Song from DreamWorks Animations ""TROLLS"")",Justin Timberlake,1480601.0,2017.0,dance pop, pop,,,,,,,,
Dont Let Me Down (feat. Daya),The Chainsmokers,1438471.0,2017.0,pop, pop dance, tropical house, edm, electropop, dance pop,,,,
Treat You Better,Shawn Mendes,1409430.0,2017.0,pop, pop, viral pop, post-teen pop, dance pop,,,,,
Just Hold On,Steve Aoki,1375005.0,2017.0,edm, pop dance, electro house, tropical house, dance pop, pop,,,,
My Way,Calvin Harris,1341827.0,2017.0,dance, pop, dance pop, edm, house, progressive house, pop dance, electro house,,
Starving,Hailee Steinfeld,1338596.0,2017.0,pop, post-teen pop, dance pop,,,,,,,
Bad Things (with Camila Cabello),Machine Gun Kelly,1257334.0,2017.0,ohio hip hop, pop rap,,,,,,,,
Heathens,Twenty One Pilots,1255839.0,2017.0,modern rock, rock,,,,,,,,
Cheap Thrills,Sia,1238279.0,2017.0,pop, australian dance, australian pop, dance pop,,,,,,
All We Know,The Chainsmokers,1238138.0,2017.0,pop, pop dance, tropical house, edm, electropop, dance pop,,,,
Mercy,Shawn Mendes,1215550.0,2017.0,pop, pop, viral pop, post-teen pop, dance pop,,,,,
ReggaetÃ³n Lento (Bailemos),CNCO,1164530.0,2017.0,boy band, latin pop, reggaeton, latin,,,,,,
Broccoli (feat. Lil Yachty),Shelley FKA DRAM,1149938.0,2017.0,virginia hip hop, alternative rnb, underground hip hop, trap, pop rap, rap,,,,
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1112074.0,2017.0,pop rap, dance pop, pop,,,,,,,
Safari,J Balvin,1112032.0,2017.0,reggaeton colombiano, reggaeton, trap latino, latin,,,,,,
This Is What You Came For (feat. Rihanna),Calvin Harris,1094062.0,2017.0,dance, pop, dance pop, edm, house, progressive house, pop dance, electro house,,
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,1059658.0,2017.0,pop, post-teen pop, dance pop, girl group, talent show,,,,,
Scars To Your Beautiful,Alessia Cara,1031598.0,2017.0,pop, post-teen pop, pop, rnb, dance pop, electropop,,,,
Vente Pa Ca (feat. Maluma),Ricky Martin,1016899.0,2017.0,latin pop, puerto rican pop, mexican pop, latin, dance pop,,,,,
All Night,The Vamps,1003894.0,2017.0,pop, post-teen pop, boy band, dance pop,,,,,,
By Your Side,Jonas Blue,971615.0,2017.0,tropical house, dance, pop dance, pop, dance pop, edm,,,,
We Dont Talk Anymore (feat. Selena Gomez),Charlie Puth,971342.0,2017.0,pop, viral pop, post-teen pop, dance pop,,,,,,
Caroline,AminÃ©,963128.0,2017.0,portland hip hop, rap, pop rap, hip hop, underground hip hop,,,,,
Now and Later,Sage The Gemini,959972.0,2017.0,pop rap, hyphy, dance pop, southern hip hop, trap, rap,,,,
Love Me Now,John Legend,950832.0,2017.0,pop soul, neo soul, pop, rnb, urban contemporary,,,,,
The Mack,Nevada,949200.0,2017.0,eurodance,,,,,,,,,
Alone,Alan Walker,936813.0,2017.0,pop dance, electro house,,,,,,,,
Work,Rihanna,899368.0,2017.0,barbadian pop, pop, dance pop, post-teen pop, urban contemporary,,,,,
Otra vez (feat. J Balvin),Zion & Lennox,893174.0,2017.0,latin hip hop, reggaeton, latin, trap latino, reggaeton flow,,,,,
I Would Like,Zara Larsson,892922.0,2017.0,pop, scandipop, dance pop, swedish electropop, post-teen pop, tropical house, swedish pop, pop dance, electropop, edm
Hear Me Now,Alok,873494.0,2017.0,pop nacional, slap house, electro house,,,,,,,
Shed a Light,Robin Schulz,868259.0,2017.0,german dance, tropical house, deep euro house, pop dance, deep house, edm, pop, dance pop,,
Bounce Back,Big Sean,859929.0,2017.0,rap, pop rap, detroit hip hop, trap, southern hip hop, hip hop,,,,
Love Yourself,Justin Bieber,858762.0,2017.0,pop, post-teen pop, pop,,,,,,,
Cake By The Ocean,DNCE,830889.0,2017.0,pop, post-teen pop, dance pop, pop rock,,,,,,
Party Monster,The Weeknd,829599.0,2017.0,pop, rnb, pop,,,,,,,
Sorry,Justin Bieber,827170.0,2017.0,pop, post-teen pop, pop,,,,,,,
Ride,Twenty One Pilots,825398.0,2017.0,modern rock, rock,,,,,,,,
La Bicicleta,Carlos Vives,810362.0,2017.0,colombian pop, champeta, latin, vallenato, latin pop, tropical,,,,
Perfect Strangers,Jonas Blue,806283.0,2017.0,tropical house, dance, pop dance, pop, dance pop, edm,,,,
Panda,Desiigner,788804.0,2017.0,viral trap, trap, rap, pop rap,,,,,,
Too Good,Drake,786785.0,2017.0,rap, pop, hip pop, rap, pop rap, hip hop,,,,
"How Far Ill Go - From ""Moana""",Alessia Cara,778773.0,2017.0,pop, post-teen pop, pop, rnb, dance pop, electropop,,,,
Sexual,NEIKED,770804.0,2017.0,scandipop,,,,,,,,,
Into You,Ariana Grande,762502.0,2017.0,pop, post-teen pop, dance pop,,,,,,,
Stressed Out,Twenty One Pilots,758614.0,2017.0,modern rock, rock,,,,,,,,
Deja Vu,J. Cole,748367.0,2017.0,north carolina hip hop, conscious hip hop, rap, hip hop,,,,,,
Shaky Shaky,Daddy Yankee,735912.0,2017.0,reggaeton, latin, latin hip hop, trap latino,,,,,,
Faded,Alan Walker,713049.0,2017.0,pop dance, electro house,,,,,,,,
The Greatest (feat. Kendrick Lamar),Sia,709411.0,2017.0,pop, australian dance, australian pop, dance pop,,,,,,
Controlla,Drake,687222.0,2017.0,rap, pop, hip pop, rap, pop rap, hip hop,,,,
Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,686053.0,2017.0,moombahton, pop, edm, dance pop, pop dance, pop rap, electro house,,,
Traicionera,Sebastian Yatra,685732.0,2017.0,reggaeton colombiano, colombian pop, reggaeton, latin,,,,,,
X (feat. Future),21 Savage,673320.0,2017.0,atl hip hop, rap, trap, hip hop,,,,,,
Send My Love (To Your New Lover),Adele,672465.0,2017.0,pop soul, british soul, uk pop, pop,,,,,,
Juju on That Beat (TZ Anthem),Zay Hilfigerrr,672103.0,2017.0,trap, pop rap, chicago bop, nyc rap, rap, viral trap,,,,
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,666941.0,2017.0,mexican pop, latin pop, dance pop, latin, pop,,,,,
Hymn for the Weekend - Seeb Remix,Coldplay,655597.0,2017.0,permanent wave, pop,,,,,,,,
"i hate u, i love u (feat. olivia obrien)",gnash,653547.0,2017.0,indie cafe pop, pop, alt z, social media pop, sad rap, electropop, pop rap,,,
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,650717.0,2017.0,rap, pop rap, new orleans rap, trap, hip hop,,,,,
Solo Dance,Martin Jensen,647007.0,2017.0,tropical house, pop dance, danish electronic, edm, dance pop, pop edm, deep house, pop, electro house,
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,646550.0,2017.0,san diego rap,,,,,,,,,
Deu Onda,MC G15,640703.0,2017.0,funk carioca, funk paulista, funk ostentacao,,,,,,,
The Ocean (feat. Shy Martin),Mike Perry,621355.0,2017.0,swedish tropical house, tropical house, pop dance, pop edm, deep tropical house, edm, electro house, pop, dance pop,
Needed Me,Rihanna,618514.0,2017.0,barbadian pop, pop, dance pop, post-teen pop, urban contemporary,,,,,
Human,RagnBone Man,615851.0,2017.0,neo soul,,,,,,,,,
Setting Fires,The Chainsmokers,599513.0,2017.0,pop, pop dance, tropical house, edm, electropop, dance pop,,,,
The Greatest,Sia,597051.0,2017.0,pop, australian dance, australian pop, dance pop,,,,,,
7 Years,Lukas Graham,593676.0,2017.0,scandipop, pop, danish pop,,,,,,,
This Girl (Kungs Vs. Cookin On 3 Burners),Kungs,586302.0,2017.0,tropical house, new french touch, pop dance,,,,,,,
Sneakinâ€™,Drake,580939.0,2017.0,rap, pop, hip pop, rap, pop rap, hip hop,,,,
OOOUUU,Young M.A,580826.0,2017.0,nyc rap, lgbtq+ hip hop, rap, trap, pop rap,,,,,
Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,579504.0,2017.0,shiver pop, downtempo, pop, post-teen pop,,,,,,
Make Me (Cry),Noah Cyrus,577810.0,2017.0,pop, post-teen pop, alt z, dance pop,,,,,,
Lot to Learn,Luke Christopher,570299.0,2017.0,indie pop rap, pop rap,,,,,,,,
Fast Car,Jonas Blue,567927.0,2017.0,tropical house, dance, pop dance, pop, dance pop, edm,,,,
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,567639.0,2017.0,rap, conscious hip hop, chicago rap, pop rap, hip hop,,,,,
Water Under the Bridge,Adele,565509.0,2017.0,pop soul, british soul, uk pop, pop,,,,,,
Shout Out to My Ex,Little Mix,561342.0,2017.0,talent show, pop, girl group, post-teen pop, uk pop, dance pop,,,,
No Heart,21 Savage,553704.0,2017.0,atl hip hop, rap, trap, hip hop,,,,,,
Middle,DJ Snake,552314.0,2017.0,pop, electronic trap, dance pop, edm, pop dance, pop rap,,,,
Dile Que Tu Me Quieres,Ozuna,549784.0,2017.0,puerto rican pop, trap latino, reggaeton, latin,,,,,,
"Me, Myself & I",G-Eazy,546883.0,2017.0,indie pop rap, oakland hip hop, pop rap, rap, hip hop,,,,,
Capsize,FRENSHIP,543362.0,2017.0,la pop, indie poptimism, electropop, tropical house, pop edm, pop dance,,,,
Billie Jean,Michael Jackson,538134.0,2017.0,soul, rnb, pop,,,,,,,
Lean On (feat. MÃ˜ & DJ Snake),Major Lazer,536139.0,2017.0,moombahton, pop, edm, dance pop, pop dance, pop rap, electro house,,,
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,534629.0,2017.0,cubaton, reggaeton,,,,,,,,
Borro Cassette,Maluma,531529.0,2017.0,reggaeton colombiano, reggaeton, latin,,,,,,,
Andas En Mi Cabeza,Chino & Nacho,523705.0,2017.0,tamaulipas rap,,,,,,,,,
Sunset Lover,Petit Biscuit,520460.0,2017.0,new french touch, tropical house,,,,,,,,
Sidewalks,The Weeknd,516467.0,2017.0,pop, rnb, pop,,,,,,,
Sex,Cheat Codes,515548.0,2017.0,pop dance, tropical house, pop, edm, dance pop, electropop, post-teen pop, electro house, pop edm,
Final Song,MÃ˜,505038.0,2017.0,electropop, pop, tropical house, dance pop, art pop, danish pop, indie poptimism,,,
All Time Low,Jon Bellion,501034.0,2017.0,pop rap,,,,,,,,,
Versace on the Floor,Bruno Mars,500917.0,2017.0,pop, post-teen pop, dance pop,,,,,,,
Six Feet Under,The Weeknd,489564.0,2017.0,pop, rnb, pop,,,,,,,
Fresh Eyes,Andy Grammer,489550.0,2017.0,neo mellow, pop rock, pop, post-teen pop, modern rock, dance pop,,,,
Vacaciones,Wisin,487214.0,2017.0,latin, reggaeton, latin hip hop, trap latino,,,,,,
Bohemian Rhapsody - Remastered 2011,Queen,482964.0,2017.0,glam rock, classic rock, rock,,,,,,,
pick up the phone,Young Thug,480609.0,2017.0,rap, melodic rap, trap, atl hip hop, atl trap, pop rap, hip hop, gangster rap,,
You Was Right,Lil Uzi Vert,476850.0,2017.0,melodic rap, philly rap, rap, trap,,,,,,
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,476309.0,2017.0,chicano rap,,,,,,,,,
Roses (feat. ROZES),The Chainsmokers,475190.0,2017.0,pop, pop dance, tropical house, edm, electropop, dance pop,,,,
Jumpman,Drake,473297.0,2017.0,rap, pop, hip pop, rap, pop rap, hip hop,,,,
Photograph,Ed Sheeran,472142.0,2017.0,uk pop, pop,,,,,,,,
PILLOWTALK,ZAYN,470638.0,2017.0,pop, post-teen pop, uk pop, dance pop,,,,,,
Pumped Up Kicks,Foster The People,467384.0,2017.0,modern rock, indietronica, rock, modern alternative rock, pop,,,,,
What Do You Mean?,Justin Bieber,464343.0,2017.0,pop, post-teen pop, pop,,,,,,,
Lush Life,Zara Larsson,460606.0,2017.0,pop, scandipop, dance pop, swedish electropop, post-teen pop, tropical house, swedish pop, pop dance, electropop, edm
Hotline Bling,Drake,459418.0,2017.0,rap, pop, hip pop, rap, pop rap, hip hop,,,,
Redbone,Childish Gambino,455949.0,2017.0,rap, atl hip hop, pop rap, hip hop,,,,,,
No Money,Galantis,453779.0,2017.0,pop dance, tropical house, edm, dance pop, pop, electro house,,,,
"Happy - From ""Despicable Me 2""",Pharrell Williams,453426.0,2017.0,pop rap,,,,,,,,,
Hello,Adele,448638.0,2017.0,pop soul, british soul, uk pop, pop,,,,,,
